"category","reason","user","exchange"
"Matched","within tolerance","{""transaction_id"":""USR-001"",""timestamp"":""2024-03-01T09:00:00.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.5,""price_usd"":""62000.00"",""fee"":""0.0005"",""note"":""Monthly DCA""}","{""transaction_id"":""EXC-1001"",""timestamp"":""2024-03-01T09:00:32.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.5,""price_usd"":""62000.00"",""fee"":""0.0005"",""note"":""""}"
"Unmatched User","missing exchange","{""transaction_id"":""USR-002"",""timestamp"":""2024-03-01T11:30:00.000Z"",""type"":""BUY"",""asset"":""ETHEREUM"",""quantity"":2,""price_usd"":""3400.00"",""fee"":""0.002"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-003"",""timestamp"":""2024-03-02T08:15:00.000Z"",""type"":""SELL"",""asset"":""BITCOIN"",""quantity"":0.1,""price_usd"":""63200.00"",""fee"":""0.0001"",""note"":""Partial exit""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-004"",""timestamp"":""2024-03-02T14:45:00.000Z"",""type"":""TRANSFER_IN"",""asset"":""ETHEREUM"",""quantity"":1,""price_usd"":"""",""fee"":""0.001"",""note"":""Sent to hardware wallet""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-005"",""timestamp"":""2024-03-03T10:00:00.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.25,""price_usd"":""61800.00"",""fee"":""0.00025"",""note"":""Note: BTC referred to as bitcoin""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-006"",""timestamp"":""2024-03-03T16:20:00.000Z"",""type"":""BUY"",""asset"":""USDT"",""quantity"":500,""price_usd"":""1.00"",""fee"":""0.5"",""note"":""Stablecoin purchase""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-007"",""timestamp"":""2024-03-04T09:05:00.000Z"",""type"":""SELL"",""asset"":""ETHEREUM"",""quantity"":0.5,""price_usd"":""3450.00"",""fee"":""0.0005"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-008"",""timestamp"":""2024-03-04T12:00:00.000Z"",""type"":""BUY"",""asset"":""SOL"",""quantity"":10,""price_usd"":""140.00"",""fee"":""0.01"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-009"",""timestamp"":""2024-03-05T08:30:00.000Z"",""type"":""TRANSFER_IN"",""asset"":""BITCOIN"",""quantity"":0.05,""price_usd"":"""",""fee"":""0.0001"",""note"":""Sent to cold storage""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-010"",""timestamp"":""2024-03-05T15:00:00.000Z"",""type"":""BUY"",""asset"":""ETHEREUM"",""quantity"":1.5,""price_usd"":""3500.00"",""fee"":""0.0015"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-011"",""timestamp"":""2024-03-06T10:15:00.000Z"",""type"":""SELL"",""asset"":""SOL"",""quantity"":5,""price_usd"":""145.00"",""fee"":""0.005"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-012"",""timestamp"":""2024-03-06T13:30:00.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.3,""price_usd"":""62500.00"",""fee"":""0.0003"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-013"",""timestamp"":""2024-03-07T09:45:00.000Z"",""type"":""BUY"",""asset"":""MATIC"",""quantity"":200,""price_usd"":""0.95"",""fee"":""0.2"",""note"":""""}",
